t_s,timestamp_us,x_m,y_m,z_m,yaw_rad,qx,qy,qz,qw,vx_mps,beta_rad,yaw_rate_radps
15.8,15800000,108.20732116699219,-7.9326863288879395,0.0,-1.4631648063659668,0.0,0.0,-0.6680479645729065,0.7441182136535645,1.6667842864990234,-0.08814653009176254,-0.2437068074941635
15.9,15900000,108.2105712890625,-8.099332809448242,0.0,-1.4875354766845703,0.0,0.0,-0.6770654916763306,0.7359227538108826,1.6667842864990234,-0.11999999731779099,-0.2437068074941635
16.0,16000000,108.20445251464844,-8.265898704528809,0.0,-1.5119061470031738,0.0,0.0,-0.6859824657440186,0.7276180982589722,1.6667842864990234,-0.11763814091682434,-0.11888566613197327
16.1,16100000,108.19466400146484,-8.432289123535156,0.0,-1.5237947702407837,0.0,0.0,-0.6902955174446106,0.7235275506973267,1.6667842864990234,-0.11037816852331161,-0.27844882011413574
16.2,16200000,108.1841049194336,-8.5986328125,0.0,-1.5516396760940552,0.0,0.0,-0.7003015279769897,0.7138471603393555,1.6667842864990234,-0.07076211273670197,-0.10956989228725433
16.3,16300000,108.17550659179688,-8.76508903503418,0.0,-1.5625966787338257,0.0,0.0,-0.7042018175125122,0.7099998593330383,1.6975278854370117,-0.027414586395025253,0.02643987536430359
16.400000000000002,16400000,108.1722412109375,-8.934810638427734,0.0,-1.559952735900879,0.0,0.0,-0.7032626271247864,0.7109301686286926,1.728271484375,-0.04161656275391579,-0.14243905246257782
16.5,16500000,108.16692352294922,-9.107556343078613,0.0,-1.574196696281433,0.0,0.0,-0.7083079814910889,0.7059035301208496,1.7590150833129883,-0.0160202719271183,0.02643987536430359
16.6,16600000,108.16350555419922,-9.283424377441406,0.0,-1.5715527534484863,0.0,0.0,-0.7073742151260376,0.7068392634391785,1.8197696208953857,-0.029818233102560043,-0.14243905246257782
16.7,16700000,108.15794372558594,-9.465316772460938,0.0,-1.5857967138290405,0.0,0.0,-0.7123903036117554,0.7017834782600403,1.8754494190216064,-0.004792740568518639,0.02643987536430359
16.8,16800000,108.15422821044922,-9.652825355529785,0.0,-1.5831527709960938,0.0,0.0,-0.7114619016647339,0.7027246356010437,1.9260544776916504,-0.009050019085407257,-0.12945397198200226
16.900000000000002,16900000,108.15010833740234,-9.845386505126953,0.0,-1.5960981845855713,0.0,0.0,-0.7159954905509949,0.6981048583984375,2.0017166137695312,0.014082007110118866,0.03942495584487915
17.0,17000000,108.14786529541016,-10.04554557800293,0.0,-1.5921556949615479,0.0,0.0,-0.7146180272102356,0.6995149254798889,2.068187952041626,-0.004076836630702019,-0.06478632986545563
17.1,17100000,108.14260864257812,-10.252297401428223,0.0,-1.5986343622207642,0.0,0.0,-0.716880202293396,0.697196364402771,2.1263060569763184,0.011888362467288971,0.10409259796142578
17.2,17200000,108.13922119140625,-10.464900970458984,0.0,-1.5882251262664795,0.0,0.0,-0.7132418751716614,0.7009180188179016,2.2070205211639404,-0.0077481698244810104,-0.06478632986545563
17.3,17300000,108.1336669921875,-10.68553352355957,0.0,-1.5947037935256958,0.0,0.0,-0.7155086398124695,0.6986038684844971,2.2767629623413086,0.007620278745889664,0.10409259796142578
17.400000000000002,17400000,108.12995910644531,-10.913179397583008,0.0,-1.5842945575714111,0.0,0.0,-0.7118629813194275,0.7023183703422546,2.371997594833374,-0.011406481266021729,-0.06478632986545563
17.5,17500000,108.12405395507812,-11.15030574798584,0.0,-1.5907732248306274,0.0,0.0,-0.7141343355178833,0.7000086903572083,2.453908920288086,0.003343663178384304,0.10409259796142578
17.6,17600000,108.1199722290039,-11.395662307739258,0.0,-1.5803639888763428,0.0,0.0,-0.7104813456535339,0.7037160396575928,2.559393882751465,-0.015061005018651485,-0.06478632986545563
17.7,17700000,108.1136703491211,-11.65152359008789,0.0,-1.586842656135559,0.0,0.0,-0.7127571702003479,0.7014108300209045,2.6491587162017822,0.0032899389043450356,0.08728276193141937
17.8,17800000,108.11029052734375,-11.916418075561523,0.0,-1.57811439037323,0.0,0.0,-0.7096893787384033,0.7045146822929382,2.72540283203125,-0.012844462879002094,-0.08159616589546204
17.900000000000002,17900000,108.10479736328125,-12.188902854919434,0.0,-1.5862740278244019,0.0,0.0,-0.7125577330589294,0.7016134858131409,2.8193206787109375,0.0011695194989442825,0.08441528677940369
18.0,18000000,108.10076141357422,-12.470806121826172,0.0,-1.5778324604034424,0.0,0.0,-0.7095900774002075,0.7046147584915161,2.898421287536621,-0.013719785027205944,-0.08333553373813629
18.1,18100000,108.0947494506836,-12.76058578491211,0.0,-1.5861660242080688,0.0,0.0,-0.7125198841094971,0.701651930809021,3.0000221729278564,0.0013829711824655533,0.08554339408874512
18.2,18200000,108.0905532836914,-13.060558319091797,0.0,-1.5776116847991943,0.0,0.0,-0.7095122933387756,0.704693078994751,3.121206045150757,-0.007638160139322281,-0.06907869875431061
18.3,18300000,108.08604431152344,-13.37264633178711,0.0,-1.5845195055007935,0.0,0.0,-0.7119420170783997,0.7022382616996765,3.2293331623077393,-0.005880721844732761,0.07186849415302277
18.400000000000002,18400000,108.0797119140625,-13.695517539978027,0.0,-1.577332615852356,0.0,0.0,-0.7094139456748962,0.7047920823097229,3.3557751178741455,0.001619828399270773,-0.04454348236322403
18.5,18500000,108.07806396484375,-14.03109073638916,0.0,-1.5817869901657104,0.0,0.0,-0.7109818458557129,0.7032103538513184,3.4622135162353516,-0.014580892398953438,0.04048581421375275
18.6,18600000,108.0692138671875,-14.377199172973633,0.0,-1.5777384042739868,0.0,0.0,-0.7095569372177124,0.7046481370925903,3.5858895778656006,0.012471921741962433,-0.02878125011920929
18.7,18700000,108.07119750976562,-14.735782623291016,0.0,-1.5806164741516113,0.0,0.0,-0.710570216178894,0.7036263346672058,3.7237799167633057,-0.019262969493865967,0.027622487396001816
18.8,18800000,108.06037139892578,-15.108003616333008,0.0,-1.5778542757034302,0.0,0.0,-0.7095977067947388,0.7046070098876953,3.8441007137298584,0.015747394412755966,-0.01583992689847946
18.900000000000002,18900000,108.06371307373047,-15.492399215698242,0.0,-1.5794382095336914,0.0,0.0,-0.7101555466651917,0.7040448188781738,3.979092597961426,-0.019202496856451035,0.027792278677225113
19.0,19000000,108.0526351928711,-15.890153884887695,0.0,-1.5766589641571045,0.0,0.0,-0.7091765403747559,0.7050309777259827,4.12640905380249,0.013206705451011658,-0.016170073300600052
19.1,19100000,108.0556640625,-16.302783966064453,0.0,-1.5782759189605713,0.0,0.0,-0.7097463011741638,0.7044574022293091,4.253864288330078,-0.01522609032690525,0.024199139326810837
19.200000000000003,19200000,108.04600524902344,-16.72806167602539,0.0,-1.5758559703826904,0.0,0.0,-0.7088934183120728,0.7053156495094299,4.39412260055542,0.012528706341981888,-0.028886277228593826
19.3,19300000,108.04928588867188,-17.167461395263672,0.0,-1.578744649887085,0.0,0.0,-0.7099113464355469,0.704291045665741,4.545149803161621,-0.011732591316103935,0.03128782659769058
19.400000000000002,19400000,108.04034423828125,-17.621889114379883,0.0,-1.5756158828735352,0.0,0.0,-0.7088087201118469,0.7054007649421692,4.710224151611328,0.012109857052564621,-0.026313267648220062
19.5,19500000,108.04377746582031,-18.092899322509766,0.0,-1.5782471895217896,0.0,0.0,-0.709736168384552,0.7044675946235657,4.887232303619385,-0.009025268256664276,0.031148448586463928
19.6,19600000,108.03572845458984,-18.58155632019043,0.0,-1.5751323699951172,0.0,0.0,-0.7086381316184998,0.7055720686912537,5.039310932159424,0.008760733529925346,-0.018178217113018036
19.700000000000003,19700000,108.03795623779297,-19.085481643676758,0.0,-1.576950192451477,0.0,0.0,-0.7092791199684143,0.7049276828765869,5.1992268562316895,-0.005350886844098568,0.01979471743106842
19.8,19800000,108.03197479248047,-19.605369567871094,0.0,-1.5749707221984863,0.0,0.0,-0.7085810899734497,0.7056293487548828,5.3650102615356445,0.0047000702470541,-0.008167792111635208
19.900000000000002,19900000,108.03225708007812,-20.141870498657227,0.0,-1.5757875442504883,0.0,0.0,-0.7088692784309387,0.7053399085998535,5.540776252746582,-0.0020220703445374966,0.010303717106580734
20.0,20000000,108.02837371826172,-20.695934295654297,0.0,-1.5747572183609009,0.0,0.0,-0.7085058093070984,0.7057049870491028,5.725231170654297,0.0019797058776021004,-0.0009687133133411407
20.1,20100000,108.02723693847656,-21.268455505371094,0.0,-1.5748541355133057,0.0,0.0,-0.7085399627685547,0.7056706547737122,5.9174065589904785,-0.00027873250655829906,0.005073752254247665
20.200000000000003,20200000,108.02467346191406,-21.860191345214844,0.0,-1.5743467807769775,0.0,0.0,-0.7083609700202942,0.70585036277771,6.113523483276367,0.0007554563926532865,0.001898694783449173
20.3,20300000,108.02296447753906,-22.471540451049805,0.0,-1.5741568803787231,0.0,0.0,-0.7082939147949219,0.7059176564216614,6.309722900390625,0.00023723638150840998,0.0030706129036843777
20.400000000000002,20400000,108.02099609375,-23.102510452270508,0.0,-1.5738497972488403,0.0,0.0,-0.7081855535507202,0.7060263752937317,6.505899906158447,0.0003793098730966449,0.0024260077625513077
20.5,20500000,108.01925659179688,-23.753097534179688,0.0,-1.5736072063446045,0.0,0.0,-0.708099901676178,0.706112265586853,6.702096462249756,0.0002830720040947199,0.0024721731897443533
20.6,20600000,108.01756286621094,-24.42330551147461,0.0,-1.5733599662780762,0.0,0.0,-0.708012580871582,0.7061998248100281,6.898286819458008,0.0002674944116733968,0.002298599574714899
20.700000000000003,20700000,108.01597595214844,-25.11313247680664,0.0,-1.5731301307678223,0.0,0.0,-0.707931399345398,0.7062811851501465,7.094480514526367,0.0002310198760824278,0.0021774147171527147
20.8,20800000,108.01448059082031,-25.82257843017578,0.0,-1.572912335395813,0.0,0.0,-0.7078545093536377,0.7063582539558411,7.290673732757568,0.00020200599101372063,0.0020357826724648476
20.900000000000002,20900000,108.0130844116211,-26.551645278930664,0.0,-1.5727087259292603,0.0,0.0,-0.7077826261520386,0.7064303159713745,7.486867427825928,0.0001743820175761357,0.0018957032589241862
21.0,21000000,108.01177978515625,-27.300331115722656,0.0,-1.5725191831588745,0.0,0.0,-0.707715630531311,0.7064973711967468,7.683061122894287,0.0001493705640314147,0.0017559720436111093
21.1,21100000,108.01057434082031,-28.068635940551758,0.0,-1.5723435878753662,0.0,0.0,-0.7076536417007446,0.7065595388412476,7.879255294799805,0.0001279556890949607,0.0016258242540061474
21.200000000000003,21200000,108.00945281982422,-28.85655975341797,0.0,-1.572180986404419,0.0,0.0,-0.7075961828231812,0.7066170573234558,8.07544994354248,0.00010788832150865346,0.001497935620136559
21.3,21300000,108.0084228515625,-29.664104461669922,0.0,-1.5720311403274536,0.0,0.0,-0.7075432538986206,0.7066700458526611,8.271645545959473,9.110552491620183e-05,0.0013795816339552402
21.400000000000002,21400000,108.00747680664062,-30.491268157958984,0.0,-1.5718932151794434,0.0,0.0,-0.7074944972991943,0.7067188620567322,8.467841148376465,7.538726640632376e-05,0.0012639978667721152
21.5,21500000,108.0066146850586,-31.338050842285156,0.0,-1.5717668533325195,0.0,0.0,-0.7074498534202576,0.7067635655403137,8.664037704467773,6.146224768599495e-05,0.0011511679040268064
21.6,21600000,108.00582885742188,-32.20445251464844,0.0,-1.5716516971588135,0.0,0.0,-0.707409143447876,0.7068042755126953,8.860234260559082,4.886985698249191e-05,0.0010397707810625434
21.700000000000003,21700000,108.00511169433594,-33.090476989746094,0.0,-1.5715477466583252,0.0,0.0,-0.7073724269866943,0.7068410515785217,9.032368659973145,3.83896185667254e-05,0.000934731331653893
21.8,21800000,108.00447082519531,-33.99371337890625,0.0,-1.5714542865753174,0.0,0.0,-0.707339346408844,0.7068741321563721,9.172117233276367,3.0963754397816956e-05,0.0008430361631326377
21.900000000000002,21900000,108.00389862060547,-34.910926818847656,0.0,-1.571370005607605,0.0,0.0,-0.7073096036911011,0.7069039344787598,9.279480934143066,2.4165263312170282e-05,0.0007540197693742812
22.0,22000000,108.00338745117188,-35.83887481689453,0.0,-1.5712945461273193,0.0,0.0,-0.7072829008102417,0.7069305777549744,9.358430862426758,1.819313911255449e-05,0.0006634211749769747
22.1,22100000,108.00293731689453,-36.77471923828125,0.0,-1.5712281465530396,0.0,0.0,-0.7072594165802002,0.7069540619850159,9.414312362670898,1.393792626913637e-05,0.000577359925955534
22.200000000000003,22200000,108.0025405883789,-37.71615219116211,0.0,-1.571170449256897,0.0,0.0,-0.707239031791687,0.7069745063781738,9.452471733093262,1.1108621038147248e-05,0.0005004320410080254
22.3,22300000,108.002197265625,-38.661399841308594,0.0,-1.5711203813552856,0.0,0.0,-0.7072213888168335,0.7069922089576721,9.477599143981934,9.840409802563954e-06,0.0004386328218970448
22.400000000000002,22400000,108.00189971923828,-39.609161376953125,0.0,-1.571076512336731,0.0,0.0,-0.7072058320045471,0.7070077061653137,9.493502616882324,8.434852134087123e-06,0.00038508683792315423
22.5,22500000,108.00164031982422,-40.558509826660156,0.0,-1.571038007736206,0.0,0.0,-0.7071922421455383,0.7070212960243225,9.503107070922852,6.7333344304643106e-06,0.00033417405211366713
22.6,22600000,108.00141906738281,-41.508819580078125,0.0,-1.5710046291351318,0.0,0.0,-0.7071804404258728,0.707033097743988,9.508563995361328,5.306894308887422e-06,0.0002865104179363698
22.700000000000003,22700000,108.00122833251953,-42.45967483520508,0.0,-1.5709760189056396,0.0,0.0,-0.707170307636261,0.7070432305335999,9.511395454406738,3.905530320480466e-06,0.00024107517674565315
22.8,22800000,108.00106048583984,-43.41081619262695,0.0,-1.5709519386291504,0.0,0.0,-0.7071617841720581,0.7070517539978027,9.512641906738281,3.2242910492641386e-06,0.00020243936160113662
22.900000000000002,22900000,108.00091552734375,-44.36207962036133,0.0,-1.5709316730499268,0.0,0.0,-0.7071546316146851,0.7070589065551758,9.51298713684082,3.7384102142823394e-06,0.00017770803242456168
23.0,23000000,108.00079345703125,-45.313377380371094,0.0,-1.5709139108657837,0.0,0.0,-0.7071483731269836,0.707065224647522,9.51298713684082,4.156566774327075e-06,0.0001626312150619924
23.1,23100000,108.00068664550781,-46.26467514038086,0.0,-1.5708976984024048,0.0,0.0,-0.7071426510810852,0.7070709466934204,9.51298713684082,3.2926050153037068e-06,0.00014511588960886002
23.200000000000003,23200000,108.00059509277344,-47.215972900390625,0.0,-1.5708831548690796,0.0,0.0,-0.7071374654769897,0.7070760726928711,9.51298713684082,2.038765387624153e-06,0.00012274307664483786
23.3,23300000,108.0005111694336,-48.16727066040039,0.0,-1.5708708763122559,0.0,0.0,-0.7071331143379211,0.7070804238319397,9.51298713684082,8.388063861275441e-07,9.713704639580101e-05
23.400000000000002,23400000,108.00044250488281,-49.118568420410156,0.0,-1.5708612203598022,0.0,0.0,-0.707129716873169,0.7070838212966919,9.51298713684082,1.2664522728300653e-06,8.126545435516164e-05
23.5,23500000,108.00038146972656,-50.06986618041992,0.0,-1.5708531141281128,0.0,0.0,-0.7071268558502197,0.7070866823196411,9.51298713684082,1.7795061921788147e-06,7.341469608945772e-05
23.6,23600000,108.00032806396484,-51.02116394042969,0.0,-1.5708457231521606,0.0,0.0,-0.7071242332458496,0.7070893049240112,9.51298713684082,2.225957587143057e-06,7.100192306097597e-05
23.700000000000003,23700000,108.00028228759766,-51.97246170043945,0.0,-1.5708385705947876,0.0,0.0,-0.707121729850769,0.7070918679237366,9.51298713684082,1.928258143379935e-06,6.705777923343703e-05
23.8,23800000,108.000244140625,-52.92375946044922,0.0,-1.5708318948745728,0.0,0.0,-0.7071194052696228,0.7070941925048828,9.51298713684082,8.858047522153356e-07,5.6349199439864606e-05
23.900000000000002,23900000,108.00021362304688,-53.875057220458984,0.0,-1.5708262920379639,0.0,0.0,-0.7071173787117004,0.7070961594581604,9.51298713684082,-2.1059622667962685e-07,4.0153710870072246e-05
24.0,24000000,108.00018310546875,-54.82635498046875,0.0,-1.5708222389221191,0.0,0.0,-0.7071159482002258,0.707097589969635,9.51298713684082,-7.54184100060229e-07,2.4014650989556685e-05
24.1,24100000,108.00016021728516,-55.777652740478516,0.0,-1.5708198547363281,0.0,0.0,-0.707115113735199,0.7070984840393066,9.51298713684082,3.9462196355088963e-07,2.058186146314256e-05
24.200000000000003,24200000,108.00013732910156,-56.72895050048828,0.0,-1.5708178281784058,0.0,0.0,-0.7071143984794617,0.7070991396903992,9.51298713684082,1.414317921444308e-06,2.577556915639434e-05
24.3,24300000,108.00011444091797,-57.68024826049805,0.0,-1.5708152055740356,0.0,0.0,-0.70711350440979,0.7071000933647156,9.51298713684082,2.0660486370616127e-06,3.458542050793767e-05
24.400000000000002,24400000,108.0000991821289,-58.63154602050781,0.0,-1.5708117485046387,0.0,0.0,-0.7071122527122498,0.7071012854576111,9.51298713684082,1.7404561276634922e-06,3.874643152812496e-05
