t,x,y,psi,vx,beta,r,ay_est,s,ey,epsi,v_target,delta_cmd,ax_cmd_requested,ax_cmd_control_limited,ax_cmd,ax_control_limit,ax_actual_limit,friction_usage_actual,control_mu,actual_mu,inside,goal,speed_limit,x_ref,y_ref,delta_eff,dvx_pred,beta_dot_res,r_dot_res,v_cmd,phase
9.0,86.46414,0.0,0.0,8.878576,0.0,0.0,0.0,86.5,0.0,0.0,7.242743824109736,0.0,-3.024082027823055,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,86.5,0.0,0.0,-0.19619999825954437,0.0,0.0,7.242743824109736,braking
9.1,87.352,0.0,0.0,8.682376,0.0,0.0,0.0,87.5,0.0,0.0,6.858326538450316,0.0,-3.3347660841961786,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,87.5,0.0,0.0,-0.19619999825954437,0.0,0.0,6.858326538450316,braking
9.200000000000001,88.22024,0.0,0.0,8.486176,0.0,0.0,0.0,88.0,0.0,0.0,6.473909252790896,0.0,-3.645450140569304,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,88.0,0.0,0.0,-0.19619999825954437,0.0,0.0,6.473909252790896,braking
9.3,89.068855,0.0,0.0,8.289975,0.0,0.0,0.0,89.0,0.0,0.0,6.281700609961185,0.0,-3.6388611140992397,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,89.0,0.0,0.0,-0.19619999825954437,0.0,0.0,6.281700609961185,braking
9.4,89.89785,0.0,0.0,8.093775,0.0,0.0,0.0,90.0,0.0,0.0,5.897283324301765,0.0,-3.949545170472365,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,90.0,0.0,0.0,-0.19619999825954437,0.0,0.0,5.897283324301765,braking
9.5,90.70723,0.0,0.0,7.897575,0.0,0.0,0.0,90.5,0.0,0.0,5.512866038642345,0.0,-4.260229226845489,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,90.5,0.0,0.0,-0.19619999825954437,0.0,0.0,5.512866038642345,braking
9.600000000000001,91.49699,0.0,0.0,7.701375,0.0,0.0,0.0,91.5,0.0,0.0,5.320657395812635,0.0,-4.253640987476322,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,91.5,0.0,0.0,-0.19619999825954437,0.0,0.0,5.320657395812635,braking
9.700000000000001,92.26712,0.0,0.0,7.505175,0.0,0.0,0.0,92.5,0.0,0.0,4.936240110153214,0.0,-4.564325830950344,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,92.5,0.0,0.0,-0.19619999825954437,0.0,0.0,4.936240110153214,braking
9.8,93.01764,0.0,0.0,7.308975,0.0,0.0,0.0,93.0,0.0,0.0,4.551822824493794,0.0,-4.875010674424367,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,93.0,0.0,0.0,-0.19619999825954437,0.0,0.0,4.551822824493794,braking
9.9,93.748535,0.0,0.0,7.1127753,0.0,0.0,0.0,93.5,0.0,0.0,4.359614181664083,0.0,-4.8684224350552,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,93.5,0.0,0.0,-0.19619999825954437,0.0,0.0,4.359614181664083,braking
10.0,94.459816,0.0,0.0,6.9165754,0.0,0.0,0.0,94.5,0.0,0.0,4.167405538834374,0.0,-4.861834195686031,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,94.5,0.0,0.0,-0.19619999825954437,0.0,0.0,4.167405538834374,braking
10.100000000000001,95.151474,0.0,0.0,6.7203755,0.0,0.0,0.0,95.0,0.0,0.0,3.782988253174953,0.0,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,95.0,0.0,0.0,-0.19619999825954437,0.0,0.0,3.782988253174953,braking
10.200000000000001,95.82351,0.0,0.0,6.5241756,0.0,0.0,0.0,96.0,0.0,0.0,3.590779610345243,0.0,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,96.0,0.0,0.0,-0.19619999825954437,0.0,0.0,3.590779610345243,braking
10.3,96.47593,0.0,0.0,6.3279757,0.0,0.0,0.0,96.5,0.0,0.0,3.2063623246858226,0.0,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,96.5,0.0,0.0,-0.19619999825954437,0.0,0.0,3.2063623246858226,braking
10.4,97.10873,0.0,0.0,6.131776,0.0,0.0,0.0,97.0,0.0,0.0,3.0141536818561123,0.0,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,97.0,0.0,0.0,-0.19619999825954437,0.0,0.0,3.0141536818561123,braking
10.5,97.7219,0.0,0.0,5.935576,0.0,0.0,0.0,97.5,0.0,0.0,2.821945039026402,0.0,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,97.5,0.0,0.0,-0.19619999825954437,0.0,0.0,2.821945039026402,braking
10.600000000000001,98.31546,0.0,0.0,5.739376,-0.018180208,-0.084439464,-0.48462984,98.5,0.0,0.0,2.629736396196692,-0.07853981633974483,-5.0,-1.9620000000000002,-1.9620000000000002,1.9620000000000002,1.9620000000000002,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,98.5,0.0,-0.07853981852531433,-0.19619999825954437,0.0,0.0,2.629736396196692,braking
10.700000000000001,98.889305,-0.01043373,-0.008443947,5.543176,-0.028864523,-0.16708638,-0.92618924,99.0,-0.010433729737997055,-0.008443946950137615,2.245319110537272,-0.15707963267948966,-5.0,-1.9012043340321891,-1.9012043340321891,1.9012043340321891,1.9012043340321891,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,99.0,0.0,-0.15707963705062866,-0.19619999825954437,0.0,0.0,2.245319110537272,braking
10.8,99.44324,-0.031109676,-0.025152586,5.3469763,-0.038894728,-0.21297568,-1.138776,99.5,-0.031109675765037537,-0.02515258640050888,2.0531104677075613,-0.23561944901923448,-5.0,-1.7296292995099845,-1.7296292995099845,1.7296292995099845,1.7296292995099845,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,99.5,0.0,-0.235619455575943,-0.19619999825954437,0.0,0.0,2.0531104677075613,braking
10.9,99.97684,-0.06533222,-0.046450153,5.156856,-0.04712776,-0.24960586,-1.2871815,100.0,-0.06533221900463104,-0.04645015299320221,1.8609018248778513,-0.20606120247855297,-5.0,-1.597696284808479,-1.597696284808479,1.597696284808479,1.597696284808479,0.9999994903162638,0.2,0.2,1.0,0.0,11.11111111111111,100.0,0.0,-0.2060611993074417,-0.19012044370174408,0.0,0.0,1.8609018248778513,braking
11.0,100.490265,-0.1135186,-0.07141074,4.983893,-0.054988287,-0.27537692,-1.372449,100.5,-0.09829526293480297,-0.008910737931728363,1.6686931820481412,-0.14093147475879747,-5.0,-1.4807456737626556,-1.4807456737626556,1.4807456737626556,1.4807456737626556,0.9999994903162638,0.2,0.2,1.0,0.0,11.11111111111111,100.49967454273904,-0.015619914399207069,-0.14093147218227386,-0.17296293377876282,0.0,0.0,1.6686931820481412,turning
11.100000000000001,100.98468,-0.17634691,-0.098948434,4.8241234,-0.062113862,-0.29779655,-1.4366072,101.0,-0.11462491946204849,0.026051566004753113,1.6686931820481412,-0.2194712910985423,-5.0,-1.4020797320349374,-1.4020797320349374,1.4020797320349374,1.4020797320349374,0.9999994903162639,0.2,0.2,1.0,0.0,11.11111111111111,100.99739786708182,-0.062418662165367955,-0.2194712907075882,-0.15976963937282562,0.0,0.0,1.6686931820481412,turning
