trial,assumed_mu,actual_mu,control_mu,score,feasible,goal_reached,final_time,max_abs_ey,max_abs_beta,max_vx,max_abs_ax,max_abs_jerk,max_abs_delta,max_abs_steer_rate,max_friction_usage,friction_pen,v_straight,v_turn,brake_buffer_m,accel_buffer_m,lookahead_m,ky,kpsi,kv
658,0.9,0.9,0.9,3259139.940755311,0,1,24.0,1.7028884887695312,0.11999999731779099,10.462873458862305,2.9457486191739046,4.572734787867952,0.5235987755982988,0.785398163397451,0.44159643554954275,0.0,10.462873570679127,3.835730721310755,19.617295482826975,17.217429688745767,3.374169144999901,0.4393474580881814,1.440822861218546,1.0820338662624416
659,0.9,0.9,0.9,245553193.0121783,0,1,23.900000000000002,7.3615875244140625,0.11999999731779099,11.100287437438965,3.576611384752225,4.161284145592935,0.5235987755982988,0.7853981633974516,0.5756057972073586,0.0,11.100287186971165,4.506784582052309,14.856305093578191,38.346996977591346,2.5485549074809635,0.5621283896425342,2.55946910255065,0.8553986411102917
660,0.9,0.9,0.9,220540996.10598868,0,1,23.200000000000003,7.24072265625,0.11999999731779099,10.609328269958496,3.302451266606049,5.108473767486522,0.5235987755982988,0.785398163397451,0.4923459035739168,0.0,10.609328329726871,5.446530552925379,15.14125548254083,21.277340854198545,2.959895928412021,0.4142816653769727,2.0595832156313865,1.4981936109705636
661,0.9,0.9,0.9,5881488.188049227,0,1,25.8,2.1026611328125,0.11999999731779099,9.485261917114258,3.520461443607741,5.641292522853058,0.5235987755982988,0.785398163397451,0.5001997678092284,0.0,9.485261647162389,4.211332050778439,12.763732337946074,27.987466305774035,3.0759198468556477,0.3801760412577733,2.565202531221222,1.3652807927341686
662,0.9,0.9,0.9,35656226.330278166,0,1,25.1,3.8162307739257812,0.11999999731779099,10.140124320983887,3.853808738338595,4.344196305059118,0.5235987755982988,0.785398163397451,0.557485953517252,0.0,10.140124285097615,3.4705381180708623,11.10952299692125,26.61805689159903,3.0890706586387005,0.4509777319069347,2.749612429163748,0.8688392610118205
663,0.9,0.9,0.9,46528111.87440967,0,1,26.400000000000002,4.330268859863281,0.11999999731779099,8.980816841125488,2.253546714782715,2.885303795337687,0.5235987755982988,0.7853981633974512,0.4297721513421433,0.0,8.980816666898031,4.18715112787474,12.516126861094488,16.783705239699785,4.732515379978047,0.241370195928539,2.7405832868642293,0.6784455518183201
664,0.9,0.9,0.9,1533796123.6894574,0,1,25.5,16.916160583496094,0.11999999731779099,9.910711288452148,2.614687821742188,3.0531275881770155,0.5235987755982988,0.785398163397451,0.4624694261748625,0.0,9.910711475194542,5.003367379313421,14.91689969714536,17.0947334448808,2.5164083355821716,0.8666122802266281,1.2576180726696402,0.9280620454891126
665,0.9,0.9,0.9,10833434.60776897,0,1,23.3,2.5002899169921875,0.11999999731779099,10.913586616516113,2.940916998467933,4.992566108703631,0.5235987755982988,0.785398163397451,0.5201863831808234,0.0,10.906218847371035,4.09831184074211,24.894598407843137,17.059732327217716,7.187445401706492,0.14443451808500288,0.6202256540750729,1.6976252491952522
666,0.9,0.9,0.9,140726642.02362227,0,1,24.700000000000003,7.58404541015625,0.11999999731779099,10.84051513671875,3.7049643983385385,6.000000000000022,0.5235987755982988,0.785398163397451,0.4937259997888366,0.0,10.811661213166792,4.3586836276045196,19.519972557709576,33.60149300441545,3.643177073647158,0.5118602434949141,1.526895293314863,1.9685498441060878
667,0.9,0.9,0.9,1183182436.8247705,0,1,24.700000000000003,14.623992919921875,0.11999999731779099,10.28453540802002,3.1239297293956674,5.883618730051464,0.5235987755982988,0.785398163397451,0.5088364898864843,0.0,10.256179872022964,5.59466245513557,15.362343416928828,19.297799765192867,5.123884164620574,0.5353407809718504,1.8008924932513732,1.9389860292676397
668,0.9,0.9,0.9,80972128.34267686,0,1,23.8,5.523956298828125,0.11999999731779099,9.64249038696289,2.8644211292266846,3.978480187064965,0.5235987755982988,0.7853981633974514,0.5020354747585748,0.0,9.64249010174772,5.313834039932205,9.469997170933564,11.15274501255079,3.9851058989620562,0.13215981540631444,2.037608759497341,0.8703901529270068
669,0.9,0.9,0.9,260591513.1222682,0,1,28.900000000000002,8.559577941894531,0.11999999731779099,9.298848152160645,2.4103030270984482,2.8843940248172157,0.5235987755982988,0.7853981633974493,0.4255411268651622,0.0,9.298848489580061,3.6447986985966434,17.155681892947104,28.229528427320936,5.368176596658041,0.6263435191402305,1.7628174939234003,0.8751912022882014
670,0.9,0.9,0.9,973018584.2706861,0,1,23.8,13.538162231445312,0.11999999731779099,10.8500394821167,2.467224359512329,3.62379461526872,0.5235987755982988,0.785398163397451,0.49145512472372427,0.0,10.85003927635246,5.183553029714273,17.890288961999897,24.832209379882794,2.3837946011634585,0.527605845604673,1.9040347554534887,0.6862046864852337
671,0.9,0.9,0.9,4174880036.425152,0,1,27.8,27.288803100585938,0.11999999731779099,9.856985092163086,3.36032690348846,5.816098020550185,0.5235987755982988,0.7853981633974502,0.525551004591347,0.0,9.856951061071673,6.656996654161449,8.490840976995436,10.696011768979009,7.168161168607904,1.0199843595521543,1.5274182116132737,1.543258344320991
672,0.9,0.9,0.9,1523750776.5918,0,1,25.700000000000003,17.105918884277344,0.11999999731779099,9.74185848236084,2.712232166094297,4.92192196125042,0.5235987755982988,0.785398163397451,0.45670305006967804,0.0,9.731395851946584,5.334748053422992,15.78467879674051,16.0589373671303,2.2524102751069757,0.9368985514561353,0.7093018695045493,1.7670498248017399
673,0.9,0.9,0.9,1900457203.0784278,0,1,27.8,16.58649444580078,0.11999999731779099,9.62646484375,3.6138114633312024,5.044353621718769,0.5235987755982988,0.7853981633974505,0.5500442393666896,0.0,9.626464753125914,4.667926489973962,9.116579272292958,23.469752568655853,6.197014709699573,0.9932842388206489,2.6921295020070266,1.0088707243437514
674,0.9,0.9,0.9,658787608.2928435,0,1,26.8,12.936317443847656,0.11999999731779099,10.072784423828125,3.356628894805908,3.7999465749278984,0.5235987755982988,0.785398163397451,0.5296327015684802,0.0,10.072784024825582,3.8142115602302926,12.982489874769144,34.36134002345638,4.018393544252328,0.7842794214373314,1.7703102364913208,0.7882431371169719
675,0.9,0.9,0.9,30488737.24878662,0,1,26.400000000000002,3.7600860595703125,0.11999999731779099,8.970367431640625,2.8226617991726726,5.484796866290881,0.5235987755982988,0.7853981633974514,0.45360804157802787,0.0,8.968343326809663,4.582556895913504,13.18490211655087,17.66337064457463,5.7106946108653505,0.2187361715982023,2.074171638077014,1.648883522958803
676,0.9,0.9,0.9,471986343.8590775,0,1,24.900000000000002,11.984283447265625,0.11999999731779099,10.937644004821777,3.8800855587168153,5.920887904864149,0.5235987755982988,0.7853981633974514,0.5640839550954114,0.0,10.937644185970326,4.140785952018291,16.12559898529336,32.757539137157295,4.286040326520982,0.7198237311139493,2.2465515997875847,1.1841775809728257
677,0.9,0.9,0.9,1155808406.8604057,0,1,26.900000000000002,13.599212646484375,0.11999999731779099,9.253704071044922,2.405090808868408,3.3556194680674554,0.5235987755982988,0.785398163397451,0.46634973901532883,0.0,9.25370426023531,5.406488713605614,8.763148342914173,19.43041299527499,2.4583693144257555,0.7543713074617606,1.979380336637392,0.7643395807860656
