s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
24.985404759043014,4.886187553405762,-64.4097900390625,0.0,3.149751780221469,0.0033957520767048098
25.979496390943403,3.892143964767456,-64.41956329345703,0.0,3.1531276032192532,0.003395752425029041
26.97358847635335,2.898138999938965,-64.43272399902344,0.0,3.156503159900929,0.0022257169253914566
27.971736807681,1.9001151323318481,-64.448486328125,0.0,-3.125623540745351,0.0005297937975402974
28.971736695944927,0.9002427458763123,-64.4644546508789,0.0,-3.125623540745351,0.0
29.97173667360442,-0.0996297299861908,-64.48042297363281,0.0,-3.125623540745351,0.0
30.971736889652092,-1.099502444267273,-64.49639129638672,0.0,-3.125623540745351,-0.0006373816525419608
31.973970012572416,-2.101614236831665,-64.5119857788086,0.0,-3.1268997275397172,-0.0016334283276407114
32.97746968954028,-3.105020046234131,-64.52571105957031,0.0,-3.1288997615183667,-0.0019930592311071093
33.980969049463525,-4.108450889587402,-64.53743743896484,0.0,-3.130899795497016,-0.0011366354949279938
34.98145574356452,-5.108882904052734,-64.54789733886719,0.0,-3.1311775631987113,-0.00013880444322925174
35.982113214826995,-6.109486103057861,-64.55831909179688,0.0,3.152007743980875,0.0
36.982114037475526,-7.109432697296143,-64.56873321533203,0.0,3.152007743980875,0.0
37.98211342969016,-8.10937786102295,-64.57914733886719,0.0,3.152007743980875,0.0
38.98211425233869,-9.10932445526123,-64.58956146240234,0.0,3.152007743980875,0.0
39.98211316774202,-10.109269142150879,-64.5999755859375,0.0,3.152007743980875,0.0
40.98211399039055,-11.10921573638916,-64.61038970947266,0.0,3.152007743980875,0.0
41.982113938899055,-12.109161376953125,-64.62081146240234,0.0,3.152007743980875,0.0
42.98211380792499,-13.10910701751709,-64.6312255859375,0.0,3.152007743980875,0.0
43.982113676950924,-14.109052658081055,-64.64163970947266,0.0,3.152007743980875,0.0
44.98211354597686,-15.10899829864502,-64.65205383300781,0.0,3.152007743980875,0.0
45.98211341500279,-16.108943939208984,-64.66246795654297,0.0,3.152007743980875,0.0
46.982114237651324,-17.108890533447266,-64.67288208007812,0.0,3.152007743980875,0.0
47.982113153054655,-18.108835220336914,-64.68329620361328,0.0,3.152007743980875,0.0
48.98211206845799,-19.108779907226562,-64.69371032714844,0.0,3.152007743980875,0.0
49.98211289110652,-20.108726501464844,-64.7041244506836,0.0,3.152007743980875,0.0
50.98211371375505,-21.108673095703125,-64.71453857421875,0.0,3.152007743980875,0.0
51.98211262915838,-22.108617782592773,-64.7249526977539,0.0,3.152007743980875,0.0
52.98211345180691,-23.108564376831055,-64.73536682128906,0.0,3.152007743980875,0.0
53.98211244669289,-24.108509063720703,-64.74578857421875,0.0,3.152007743980875,0.0
54.98211326934142,-25.108455657958984,-64.7562026977539,0.0,3.152007743980875,0.0
55.98211218474475,-26.108400344848633,-64.76661682128906,0.0,3.152007743980875,0.0
56.98211300739328,-27.108346939086914,-64.77703094482422,0.0,3.152007743980875,0.0
57.98211192279661,-28.108291625976562,-64.78744506835938,0.0,-3.1311775631987113,0.0
58.98211274544514,-29.108238220214844,-64.79785919189453,0.0,-3.1311775631987113,0.0
59.98211356809367,-30.108184814453125,-64.80827331542969,0.0,-3.1311775631987113,0.0
60.982114390742204,-31.108131408691406,-64.81868743896484,0.0,-3.1311775631987113,0.0
61.98211139890034,-32.10807418823242,-64.8291015625,0.0,-3.1311775631987113,0.0
62.98211603603927,-33.10802459716797,-64.83951568603516,0.0,-3.1311775631987113,0.0
63.982113044197405,-34.107967376708984,-64.84992980957031,0.0,-3.1311775631987113,0.0
64.98211394632843,-35.107913970947266,-64.8603515625,0.0,-3.1311775631987113,0.0
65.98211095448656,-36.10785675048828,-64.87076568603516,0.0,-3.1311775631987113,0.0
66.98211177713509,-37.10780334472656,-64.88117980957031,0.0,-3.1311775631987113,0.0
67.98211259978362,-38.107749938964844,-64.89159393310547,0.0,-3.1311775631987113,0.0
68.98211342243215,-39.107696533203125,-64.90200805664062,0.0,-3.1311775631987113,0.0
69.98211424508068,-40.107643127441406,-64.91242218017578,0.0,-3.1311775631987113,0.0
70.98211506772921,-41.10758972167969,-64.92283630371094,0.0,-3.1311775631987113,0.0
71.98211589037774,-42.10753631591797,-64.9332504272461,0.0,-3.1311775631987113,0.0
72.98211289853587,-43.107479095458984,-64.94366455078125,0.0,-3.1311775631987113,0.0
73.9821137211844,-44.107425689697266,-64.9540786743164,0.0,-3.1311775631987113,0.0
74.98211072934254,-45.10736846923828,-64.96449279785156,0.0,-3.1311775631987113,0.0
75.98211163147356,-46.10731506347656,-64.97491455078125,0.0,-3.1311775631987113,0.0
76.98211245412209,-47.107261657714844,-64.9853286743164,0.0,-3.1311775631987113,0.0
77.98211327677062,-48.107208251953125,-64.99574279785156,0.0,-3.1311775631987113,0.0
78.98211409941915,-49.107154846191406,-65.00615692138672,0.0,-3.1311775631987113,0.0
79.98211492206768,-50.10710144042969,-65.01657104492188,0.0,-3.1311775631987113,0.0
80.98211193022581,-51.1070442199707,-65.02698516845703,0.0,-3.1311775631987113,0.0
81.98211275287434,-52.106990814208984,-65.03739929199219,0.0,-3.1311775631987113,0.0
82.98211357552287,-53.106937408447266,-65.04781341552734,0.0,-3.1311775631987113,0.0
83.9821143981714,-54.10688400268555,-65.0582275390625,0.0,-3.1311775631987113,0.0
84.98211140632954,-55.10682678222656,-65.06864166259766,0.0,-3.1311775631987113,0.0
85.98211222897807,-56.106773376464844,-65.07905578613281,0.0,-3.1311775631987113,0.0
86.98211313110909,-57.106719970703125,-65.0894775390625,0.0,-3.1311775631987113,0.0
87.98211395375762,-58.106666564941406,-65.09989166259766,0.0,-3.1311775631987113,0.0
88.98211477640615,-59.10661315917969,-65.11030578613281,0.0,-3.1311775631987113,0.0
89.98211178456428,-60.1065559387207,-65.12071990966797,0.0,-3.1311775631987113,0.0
90.98211260721281,-61.106502532958984,-65.13113403320312,0.0,-3.1311775631987113,0.0
91.98211342986134,-62.106449127197266,-65.14154815673828,0.0,-3.1311775631987113,0.0
92.98211425250987,-63.10639572143555,-65.15196228027344,0.0,-3.1311775631987113,0.0
93.982111260668,-64.10633850097656,-65.1623764038086,0.0,-3.1311775631987113,0.0
94.98211208331654,-65.10628509521484,-65.17279052734375,0.0,-3.1311775631987113,0.0
95.98211290596507,-66.10623168945312,-65.1832046508789,0.0,-3.1311775631987113,0.0
96.9821060996328,-67.10617065429688,-65.19361877441406,0.0,3.152007743980875,0.0
97.98210692228133,-68.10611724853516,-65.20403289794922,0.0,3.152007743980875,0.0
98.98210782441235,-69.10606384277344,-65.2144546508789,0.0,3.152007743980875,0.0
99.98210864706088,-70.10601043701172,-65.22486877441406,0.0,3.152007743980875,-0.008901725045957744
101.01373587820427,-71.13762664794922,-65.2296371459961,0.0,3.133922749650365,-0.02249954707850631
102.06403235201189,-72.18766784667969,-65.20648193359375,0.0,3.1051654035674714,-0.027380272969229173
103.11431485761456,-73.2365951538086,-65.15314483642578,0.0,3.0764083238006865,-0.02738037190776289
104.1646037410138,-74.28356170654297,-65.06967163085938,0.0,3.047650977717793,-0.027380374860609787
105.21489574661216,-75.32769775390625,-64.95612335205078,0.0,3.0188936316348993,-0.027380380544733136
106.26518419393416,-76.36813354492188,-64.8125991821289,0.0,2.9901362855520057,-0.02738050242596077
107.31546684903483,-77.40400695800781,-64.63922119140625,0.0,2.961378939469112,-0.02738043676441423
108.36576033377638,-78.43447875976562,-64.4361343383789,0.0,2.9326215933862185,-0.027380234528768407
109.41604877755147,-79.45867919921875,-64.20349884033203,0.0,2.903864513619434,-0.027380356322040056
110.46633291848673,-80.47576141357422,-63.941505432128906,0.0,2.8751071675365405,-0.027380420883588386
111.51662613574179,-81.48490142822266,-63.65038299560547,0.0,2.846349821453647,-0.027380393330050875
112.56691239053775,-82.48524475097656,-63.330360412597656,0.0,2.817592475370753,-0.02738046286479488
113.61720027321331,-83.4759750366211,-62.98170852661133,0.0,2.7888351292878593,-0.027380376366656602
114.66749316399373,-84.4562759399414,-62.604713439941406,0.0,2.7600777832049657,-0.02738019411952845
115.71778530188763,-85.42533111572266,-62.19968795776367,0.0,2.7313207034381812,-0.02738021517947898
116.76807657696793,-86.38233947753906,-61.7669677734375,0.0,2.7025633573552876,-0.027380461626454515
117.81835953436213,-87.32649993896484,-61.306907653808594,0.0,2.673806011272394,-0.027380451364608305
118.86865159671103,-88.25704956054688,-60.81988525390625,0.0,2.6450486651895004,-0.027380396033066225
119.9189387990422,-89.17321014404297,-60.30631637573242,0.0,2.616291319106607,-0.027380290554731825
